"Legal Entity Name","Organization Marketing Name","Contract Number","Organization Type","Plan Type","Contract Effective Date","Tax Status","Parent Organization","CMS Region Responsible","Enrollment","Legal Entity Street","Legal Entity Street2","Legal Entity City","Legal Entity State Code","Legal Entity Zip","Directory Contact Title","Directory Contact Last Name","Directory Contact First Name","Directory Contact Middle Initial","Directory Contact Phone","Directory Contact Phone Ext","Directory Contact Fax","Directory Contact Email","Directory Contact St Address","Directory Contact St Address2","Directory Contact City","Directory Contact State","Directory Contact Zip","Directory Contact Last Update"
"MEDICAL ASSOCIATES CLINIC HEALTH PLAN","Medical Associates Clinic Health Plan of Wisconsin","H5256","1876 Cost","1876 Cost","02/01/1996","Not-for-Profit/Non-Profit","Medical Associates Clinic, P.C.","Kansas City","3,740","1605 ASSOCIATES DRIVE","","DUBUQUE","IA","52002","Marketing Specialist","Hoffmann","Julie","","1-563-556-8070","","1-563-556-5134","jhoffmann@mahealthcare.com","1605 Associates Drive","","Dubuque","IA","52002","06/24/2010"
"MEDICAL ASSOCIATES HEALTH PLAN, INC.","Medical Associates Health Plan, Inc.","H1651","1876 Cost","1876 Cost","02/01/1996","For Profit","Medical Associates Clinic, P.C.","Kansas City","13,497","1605 Associates Drive","","DUBUQUE","IA","52002","Marketing Specialist","Hoffmann","Julie","","1-563-556-8070","","1-563-556-5134","jhoffmann@mahealthcare.com","1605 Associates Drive","","Dubuque","IA","52002","02/01/2007"
"MEDICAL MUTUAL OF OHIO","Medical Mutual of Ohio","H4497","Local CCP","Local PPO","01/01/2016","Not-for-Profit/Non-Profit","MEDICAL MUTUAL OF OHIO","Chicago","9,053","2060 East Ninth Street","","Cleveland","OH","44115","","Service","Provider","","1-800-362-1279","","","ProviderInformation@medmutual.com","2060 East Ninth Street","","Cleveland","OH","44115","01/15/2016"
"MEDICAL MUTUAL OF OHIO","Medical Mutual of Ohio","H6723","Local CCP","HMO/HMOPOS","01/01/2016","Not-for-Profit/Non-Profit","MEDICAL MUTUAL OF OHIO","Chicago","25,736","2060 East Ninth Street","","Cleveland","OH","44115","","Service","Provider","","1-800-362-1279","","","ProviderInformation@medmutual.com","2060 East Ninth Street","","Cleveland","OH","44115","02/23/2016"
"MEDICARE ADVANTAGE INSURANCE COMPANY OF OMAHA","Mutual of Omaha Medicare Advantage","H4672","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","Mutual of Omaha Insurance Company","Kansas City","1,015","3300 Mutual of Omaha Plaza","","Omaha","NE","68175","","Sandhoefner","Neil","","1-402-351-6969","","","neil.sandhoefner@mutualofomaha.com","3300 Mutual of Omaha Plaza","","Omaha","NE","68175","05/04/2020"
"MEDISUN, INC.","Blue Cross Blue Shield of Arizona Advantage","H0302","Local CCP","HMO/HMOPOS","08/01/1999","For Profit","Blue Cross Blue Shield of Arizona","San Francisco","34,304","13985 W Grand Ave Suite 200","","Surprise","AZ","85374","","Services","Member","","1-480-937-0409","","","contact.advantage@azblue.com","13985 W Grand Ave Suite 200","","Surprise","AZ","85374","05/29/2020"
"MEMORIAL HERMANN HEALTH PLAN","Memorial Hermann Health Plan","H7115","Local CCP","HMO/HMOPOS","01/01/2015","For Profit","Memorial Hermann Health System","Dallas","5,294","929 Gessner","Suite 1500","Houston","TX","77024","Chief Executive Officer","Hurt","Jay","","1-713-338-6165","","","Jay.Hurt2@memorialhermann.org","929 Gessner #1500","","Houston","TX","77024","08/17/2020"
"MEMORIAL HOSPITAL OF LARAMIE COUNTY","Wyoming PACE","H4000","National PACE","National PACE","01/01/2013","Not-for-Profit/Non-Profit","Memorial Hospital of Laramie County","Denver","133","214 East 23rd Street","","Cheyenne","WY","82001","PACE Director","Carey","Rebecca","","1-307-773-8115","","1-307-773-8131","rebecca.carey@crmcwy.org","214 E. 23rd St.","","Cheyenne","WY","82001","10/06/2020"
"MERCY CARE","Mercy Care Advantage","H5580","Local CCP","HMO/HMOPOS","01/01/2006","Not-for-Profit/Non-Profit","Mercy Care","San Francisco","16,377","4755 S. 44th Place","","Phoenix","AZ","85040","Director, Medicare Produc","Richardson","Shannon","","1-602-453-5592","","","RichardsonS4@aetna.com","4755 S 44th Place","","Phoenix","AZ","85040","10/24/2018"
"MERCY LIFE OF ALABAMA","Mercy LIFE of Alabama","H4074","National PACE","National PACE","12/01/2011","Not-for-Profit/Non-Profit","Trinity Health","Atlanta","161","2900 Springhill Ave.","","Mobile","AL","36607","Executive Director","Brown","Diane","S","1-251-287-8420","","1-251-287-8478","dianeb@mercylifeal.com","2900 Springhill Ave","","Mobile","AL","36607","09/22/2020"
"MERCY LIFE, INC.","Mercy LIFE","H0809","National PACE","National PACE","03/01/2014","Not-for-Profit/Non-Profit","Trinity Health","Boston","267","200 Hillside Circle","Suite 1","West Springfield","MA","01089","Executive Director","Cheo","Emmanuel","","1-413-827-4243","","1-413-493-2024","Emmanuel.Cheo@trinity-health.org","200 Hillside Circle","Suite 1","West Springfield","MA","01089","03/30/2020"
"MERIDIAN HEALTH PLAN OF ILLINOIS, INC.","IlliniCare Health","H0281","Demo","Medicare-Medicaid Plan HMO/HMOPOS","02/01/2014","For Profit","Centene Corporation","Chicago","6,681","999 Oakmont Plaza Drive","","Westmont","IL","60559","","Services","Provider","","1-866-329-4701","","","CorporateMedicareComplianceDept@CENTENE.COM","999 Oakmont Plaza Drive","","Westmont","IL","60559","09/23/2015"
"MERIDIAN HEALTH PLAN OF ILLINOIS, INC.","MeridianComplete","H6080","Demo","Medicare-Medicaid Plan HMO/HMOPOS","02/01/2014","For Profit","Centene Corporation","Chicago","9,224","1 Campus Martius","Suite 700","Detroit","MI","48226","","Services","Member","","1-855-323-4578","","1-877-858-2437","meridianmedicare@mhplan.com","1 Campus Martius","Suite 700","Detroit","MI","48226","07/19/2017"
"MERIDIAN HEALTH PLAN OF ILLINOIS, INC.","WellCare","H5779","Local CCP","HMO/HMOPOS","01/01/2013","For Profit","Centene Corporation","Dallas","6,502","1 Campus Martius","Suite 700","Detroit","MI","48226","","Inquiries","Website","","1-888-888-9355","","","contactus@wellcare.com","8735 Henderson Road, Ren 1, 3rd Floor","","Tampa","FL","33634","09/03/2019"
"MERIDIAN HEALTH PLAN OF MICHIGAN, INC.","WellCare","H5475","Local CCP","HMO/HMOPOS","01/01/2011","For Profit","Centene Corporation","Dallas","29,930","8735 Henderson Rd","Ren 1","Tampa","FL","33634","","Inquiries","Website","","1-888-888-9355","","","contactus@wellcare.com","8735 Henderson Road, Ren 1, 3rd Floor","","Tampa","FL","33634","09/03/2019"
"MERIDIAN HEALTH PLAN OF MICHIGAN, INC.","MeridianComplete","H0480","Demo","Medicare-Medicaid Plan HMO/HMOPOS","03/01/2015","For Profit","Centene Corporation","Chicago","5,170","1 Campus Martius","Suite 700","Detroit","MI","48226","","Services","Member","","1-855-323-4578","","1-877-858-2437","meridianmedicare@mhplan.com","1 Campus Martius","Suite 700","Detroit","MI","48226","02/27/2017"
"METROPLUS HEALTH PLAN, INC.","MetroPlus Health Plan","H0423","Local CCP","HMO/HMOPOS","01/01/2008","Not-for-Profit/Non-Profit","New York City Health and Hospitals Corporation","New York","8,078","160 Water Street","3rd Floor","New York","NY","10038","Director of Communication","Soman","Kathryn","","1-212-908-8588","","1-212-908-8603","somank@metroplus.org","160 Water Street","3rd Floor","New York","NY","10038","12/11/2019"
"MICHIGAN COMPLETE HEALTH, INC.","Michigan Complete Health","H9487","Demo","Medicare-Medicaid Plan HMO/HMOPOS","05/01/2015","For Profit","Centene Corporation","Chicago","2,974","1 Campus Martius","Suite 700","Detroit","MI","48226","","Services","Provider","","1-844-239-7387","","","CorporateMedicareComplianceDept@CENTENE.COM","800 Tower Dr","Suite 200","Troy","MI","48098","02/28/2018"
"MIDLAND CARE CONNECTION","Midland Care PACE","H5822","National PACE","National PACE","01/01/2007","Not-for-Profit/Non-Profit","Midland Care Connection, Inc.","Kansas City","267","200 SW Frazier Circle","","Topeka","KS","66606","VP of Senior Services","Pickerell","Heidi","","1-785-232-2044","","","hpickerell@midlandcc.org","200 SW Frazier Circle","","Topeka","KS","66606","03/09/2018"
"MISSOURI CARE, INCORPORATED","Healthy Blue","H6316","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","Anthem Inc.","Dallas","817","8735 Henderson Rd","Ren 1","Tampa","FL","33634","","Service","Customer","","1-888-230-7338","","","Medicare.Service.Experience@Anthem.com","145 S. Pioneer Road","","Fon du Lac","WI","54935","11/09/2020"
"MISSOURI MEDICARE SELECT, LLC","American Health Advantage of Missouri","H4490","Local CCP","HMO/HMOPOS","01/01/2016","For Profit","American Health Companies, Inc.","Denver","133","201 Jordan Road","Suite 200","Franklin","TN","37067","Executive Director of Hea","Kukuljan","Shiloh","","1-314-354-9940","","","skukuljan@amhealthplans.com","201 Jordan Road","Suite 200","Franklin","TN","37067","01/03/2020"
"MISSOURI VALLEY LIFE AND HEALTH INSURANCE COMPANY","Blue Medicare Advantage","H6502","Local CCP","Local PPO","01/01/2018","For Profit","Blue Cross and Blue Shield of Kansas City","Kansas City","8,343","2301 Main Street","","Kansas City","MO","64108","","Service","Customer","","1-866-508-7140","","","customerservice@bluekcma.com","13900 Riverport Dr","","Maryland Heights","MO","63043","02/13/2017"
"MMM HEALTHCARE, LLC","PMC Medicare Choice","H4004","Local CCP","HMO/HMOPOS","08/01/2004","For Profit","Summit Master Company, LLC","New York","46,101","350 Chardón Avenue","Suite 500, Torre Chardón","San Juan","PR","009182137","Corporate Compliance Offi","Plumey","Myra","","1-787-622-3000","2061","1-787-622-0471","myra.plumey@mmmhc.com","350 Avénida Chardón","Torre Chardón, Suite 500","San Juan","PR","00918","12/21/2017"
"MMM HEALTHCARE, LLC","Medicare y Mucho Más","H4003","Local CCP","HMO/HMOPOS","09/01/2001","For Profit","Summit Master Company, LLC","New York","214,709","350 Chardon Ave Suite 500","Torre Chardon","San Juan","PR","009182137","Corporate Compliance Offi","Plumey","Myra","","1-787-622-3000","2061","1-787-622-0471","myra.plumey@mmmhc.com","350 Avénida Chardón","Torre Chardón, Suite 500","San Juan","PR","00918","12/21/2017"
"MMM HEALTHCARE, LLC","Medicare y Mucho Más","H7522","Local CCP","Local PPO","01/01/2016","For Profit","Summit Master Company, LLC","New York","1,504","350 Chardon Ave Suite 500","Torre Chardon","San Juan","PR","009182137","Corporate Compliance Offi","Plumey","Myra","","1-787-622-3000","2061","1-787-622-0471","myra.plumey@mmmhc.com","350 Avénida Chardón","Torre Chardón, Suite 500","San Juan","PR","00918","12/21/2017"
"MMM OF FLORIDA, INC.","MMM of Florida, Inc.","H3293","Local CCP","HMO/HMOPOS","01/01/2019","For Profit","Summit Master Company, LLC","New York","2,759","5775 Blue Lagoon Drive, Suite 450","","Miami","FL","33126","Call Center Manager","Faria","Arielle","","1-888-722-7559","","","Arielle.Faria@mmm-fl.com","5775 Blue Lagoon Drive, Suite  450","","Miami","FL","33126","01/04/2019"
"MODA HEALTH PLAN, INC.","Moda Health Plan, Inc.","H3813","Local CCP","Local PPO","07/01/2005","For Profit","Moda Partners, Inc.","Seattle","9,617","601 SW Second Avenue Suite 900","","Portland","OR","97204","","Service","Customer","","1-877-299-9062","","1-503-948-5577","MedicalMedicare@modahealth.com","PO Box 40384","","Portland","OR","97240-0384","01/25/2017"
"MOLINA HEALTHCARE OF CALIFORNIA","Molina Healthcare of California","H8677","Demo","Medicare-Medicaid Plan HMO/HMOPOS","04/01/2014","For Profit","Molina Healthcare, Inc.,","San Francisco","8,450","200 Oceangate","Ste. 100","Long Beach","CA","90802","MHI- Senior Vice Presiden","Wilfong","Thomas","","1-888-562-5442","111502","","thomas.wilfong@molinahealthcare.com","200 Oceangate","Suite 100","Long Beach","CA","90802","07/06/2020"
"MOLINA HEALTHCARE OF CALIFORNIA","Molina Healthcare of California","H5810","Local CCP","HMO/HMOPOS","01/01/2006","For Profit","Molina Healthcare, Inc.,","New York","2,223","200 Oceangate Suite 100","","Long Beach","CA","90802","MHI- Senior Vice Presiden","Wilfong","Thomas","","1-888-562-5442","111502","","thomas.wilfong@molinahealthcare.com","200 Oceangate","Suite 100","Long Beach","CA","90802","07/06/2020"
"MOLINA HEALTHCARE OF FLORIDA, INC.","Molina Healthcare of Florida","H8130","Local CCP","HMO/HMOPOS","01/01/2010","For Profit","Molina Healthcare, Inc.,","New York","1,729","8300 NW 33rd Street, Suite 400","","Doral","FL","33122","MHI- Senior Vice Presiden","Wilfong","Thomas","","1-888-562-5442","111502","","thomas.wilfong@molinahealthcare.com","200 Oceangate","Suite 100","Long Beach","CA","90802","07/06/2020"
"MOLINA HEALTHCARE OF ILLINOIS, INC.","Molina Healthcare of Illinois","H8046","Demo","Medicare-Medicaid Plan HMO/HMOPOS","02/01/2014","For Profit","Molina Healthcare, Inc.,","Chicago","8,932","1520 Kensington Road","Ste. 212","Oakbrook","IL","60523","MHI- Senior Vice Presiden","Wilfong","Thomas","","1-888-562-5442","111502","","thomas.wilfong@molinahealthcare.com","200 Oceangate","Suite 100","Long Beach","CA","90802","07/06/2020"
"MOLINA HEALTHCARE OF MICHIGAN, INC.","Molina Healthcare of Michigan","H7844","Demo","Medicare-Medicaid Plan HMO/HMOPOS","05/01/2015","For Profit","Molina Healthcare, Inc.,","Chicago","12,540","880 W. Long Lake Road","Ste. 600","Troy","MI","48098","MHI- Senior Vice Presiden","Wilfong","Thomas","","1-888-562-5442","111502","","thomas.wilfong@molinahealthcare.com","200 Oceangate","Suite 100","Long Beach","CA","90802","07/06/2020"
"MOLINA HEALTHCARE OF MICHIGAN, INC.","Molina Healthcare of Michigan","H5926","Local CCP","HMO/HMOPOS","01/01/2006","For Profit","Molina Healthcare, Inc.,","New York","14,099","880 W.Long Lake Rd","Suite 600","Troy","MI","48098","MHI- Senior Vice Presiden","Wilfong","Thomas","","1-888-562-5442","111502","","thomas.wilfong@molinahealthcare.com","200 Oceangate","Suite 100","Long Beach","CA","90802","07/06/2020"
"MOLINA HEALTHCARE OF NEW MEXICO, INC.","Molina Healthcare of New Mexico, Inc.","H9082","Local CCP","HMO/HMOPOS","01/01/2008","For Profit","Molina Healthcare, Inc.,","New York","2,757","8801 Horizon Blvd., Suite 400","","Albuquerque","NM","87113","MHI- Senior Vice Presiden","Wilfong","Thomas","","1-888-562-5442","111502","","thomas.wilfong@molinahealthcare.com","200 Oceangate","Suite 100","Long Beach","CA","90802","07/06/2020"
"MOLINA HEALTHCARE OF OHIO, INC.","Molina Healthcare of Ohio","H5280","Demo","Medicare-Medicaid Plan HMO/HMOPOS","05/01/2014","For Profit","Molina Healthcare, Inc.,","Chicago","16,608","3000 Corporate Exchange Drive","","Columbus","OH","43231","MHI- Senior Vice Presiden","Wilfong","Thomas","","1-888-562-5442","111502","","thomas.wilfong@molinahealthcare.com","200 Oceangate","Suite 100","Long Beach","CA","90802","07/06/2020"
"MOLINA HEALTHCARE OF SOUTH CAROLINA, INC.","Molina Healthcare of South Carolina","H2533","Demo","Medicare-Medicaid Plan HMO/HMOPOS","02/01/2015","For Profit","Molina Healthcare, Inc.,","Atlanta","4,254","200 Oceangate - Suite 100","","Long Beach","CA","90802","MHI- Senior Vice Presiden","Wilfong","Thomas","","1-888-562-5442","","","thomas.wilfong@molinahealthcare.com","200 Oceangate","Suite 100","Long Beach","CA","90802","07/01/2020"
"MOLINA HEALTHCARE OF SOUTH CAROLINA,INC","Molina Healthcare of South Carolina and Ohio","H8176","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","Molina Healthcare, Inc.,","New York","1,429","4105 Faber Place Drive","Suite 120","North Charleston","SC","29405","MHI- Senior Vice Presiden","Wilfong","Thomas","","1-888-562-5442","111502","","thomas.wilfong@molinahealthcare.com","200 Oceangate","Suite 100","Long Beach","CA","90802","07/06/2020"
"MOLINA HEALTHCARE OF TEXAS, INC.","Molina Healthcare of Texas","H8197","Demo","Medicare-Medicaid Plan HMO/HMOPOS","03/01/2015","For Profit","Molina Healthcare, Inc.,","Dallas","11,238","84 NE Loop 410","Ste. 400","San Antonio","TX","78216","MHI- Senior Vice Presiden","Wilfong","Thomas","","1-888-562-5442","111502","","thomas.wilfong@molinahealthcare.com","200 Oceangate","Suite 100","Long Beach","CA","90802","07/06/2020"
"MOLINA HEALTHCARE OF TEXAS, INC.","Molina Healthcare of Texas, Inc.","H7678","Local CCP","HMO/HMOPOS","01/01/2008","For Profit","Molina Healthcare, Inc.,","New York","1,816","2505 North Hwy 360, Suite 300","","Grand Prairie","TX","75050","MHI- Senior Vice Presiden","Wilfong","Thomas","","1-888-562-5442","111502","","thomas.wilfong@molinahealthcare.com","200 Oceangate","Suite 100","Long Beach","CA","90802","07/06/2020"
"MOLINA HEALTHCARE OF UTAH, INC.","Molina Healthcare of Utah & Idaho","H5628","Local CCP","HMO/HMOPOS","01/01/2006","For Profit","Molina Healthcare, Inc.,","New York","14,793","7050 Union Park Center","Suite 200","Midvale","UT","84047","MHI- Senior Vice Presiden","Wilfong","Thomas","","1-888-562-5442","111502","","thomas.wilfong@molinahealthcare.com","200 Oceangate","Suite 100","Long Beach","CA","90802","07/06/2020"
"MOLINA HEALTHCARE OF WASHINGTON, INC.","Molina Healthcare of Washington, Inc.","H5823","Local CCP","HMO/HMOPOS","01/01/2006","For Profit","Molina Healthcare, Inc.,","New York","10,707","21540 30th Dr. SE","Suite 400","Bothell","WA","98021","MHI- Senior Vice Presiden","Wilfong","Thomas","","1-888-562-5442","111502","","thomas.wilfong@molinahealthcare.com","200 Oceangate","Suite 100","Long Beach","CA","90802","07/06/2020"
"MOLINA HEALTHCARE OF WISCONSIN, INC.","Molina Healthcare of Wisconsin","H2879","Local CCP","HMO/HMOPOS","01/01/2014","For Profit","Molina Healthcare, Inc.,","New York","1,041","2400 South 102nd Street","","West Allis","WI","53227","MHI- Senior Vice Presiden","Wilfong","Thomas","","1-888-562-5442","111502","","thomas.wilfong@molinahealthcare.com","200 Oceangate","Suite 100","Long Beach","CA","90802","07/06/2020"
"MORSE LIFE HOME CARE, INC.","Palm Beach PACE","H0112","National PACE","National PACE","11/01/2013","Not-for-Profit/Non-Profit","Morse Life Home Care, Inc.","Atlanta","629","4847 Fred Gladstone Drive","","West Palm Beach","FL","33417","Director of Information T","Schultz","Michael","","1-561-687-5765","","1-561-683-4556","Michaels@MorseLife.org","4847 Fred Gladstone Dr.","","West Palm Beach","FL","33417","03/26/2013"
"MOUNT CARMEL HEALTH INSURANCE COMPANY","MediGold","H1846","Local CCP","Local PPO","01/01/2009","Not-for-Profit/Non-Profit","Trinity Health","Chicago","669","6150 E. Broad St.  EE320","","Columbus","OH","43213","Sr. Director, Member & Pr","Caudle","Jeff","","1-800-991-9907","","1-614-546-3224","jcaudle@mchs.com","6150 E. Broad St, EE320","","Columbus","OH","43213","12/05/2016"
"MOUNT CARMEL HEALTH PLAN OF IDAHO, INC.","MediGold","H6910","Local CCP","HMO/HMOPOS","01/01/2020","Not-for-Profit/Non-Profit","Trinity Health","Chicago","728","6150 East Broad Street","EE320","Columbus","OH","43213","Sr. Director, Member & Pr","Caudle","Jeff","","1-800-991-9907","","1-614-546-3224","jcaudle@mchs.com","6150 E. Broad St, EE320","","Columbus","OH","43213","01/16/2019"
